distance_m,soil_moisture_content_pct
90.56,2.984272171
90.69,3.825198374
90.83,2.946124577
90.97,3.81705078
91.11,3.987976983
91.25,4.798903186
91.39,4.53982939
91.53,4.230755593
91.67,3.531681796
91.81,3.732607999
91.94,3.253534202
92.08,3.394460405
92.22,3.415386608
92.36,3.886312811
92.50,3.597239014
92.64,3.478165217
92.78,3.53909142
92.92,3.210017623
93.06,3.250943826
93.19,3.391870029
93.33,3.552796232
93.47,3.743722435
93.61,3.344648638
93.75,3.795574841
93.89,3.186501044
94.03,3.207427247
94.17,3.45835345
94.31,3.079279653
94.44,3.340205856
94.58,2.991132059
94.72,3.722058262
94.86,3.212984466
95.00,4.103910669
95.14,3.964836872
95.28,4.115763075
95.42,2.756689278
95.56,3.487615481
95.69,3.088541684
95.83,3.709467887
95.97,4.26039409
96.11,4.721320293
96.25,4.182246496
96.39,4.133172699
96.53,3.854098902
96.67,4.645025105
96.81,4.395951308
96.94,4.196877511
97.08,4.137803714
97.22,3.938729917
97.36,2.99965612
97.50,2.700582323
97.64,2.521508526
97.78,3.122434729
97.92,3.113360932
98.06,5.154287135
98.19,4.235213339
98.33,3.676139542
98.47,2.917065745
98.61,2.877991948
98.75,3.238918151
98.89,4.139844354
99.03,4.380770557
99.17,4.62169676
99.31,5.192622963
99.44,5.393549166
99.58,5.884475369
99.72,5.905401572
99.86,5.566327775
100.00,4.917253978
100.14,4.808180181
100.28,3.709106384
100.42,4.150032587
100.56,4.53095879
100.69,5.421884993
100.83,5.402811196
100.97,5.813737399
101.11,5.944663602
101.25,5.225589805
101.39,4.566516008
101.53,3.767442212
101.67,4.088368415
101.81,3.959294618
101.94,3.790220821
102.08,4.091147024
102.22,3.502073227
102.36,4.32299943
102.50,4.213925633
102.64,4.184851836
102.78,4.185778039
102.92,3.976704242
103.06,3.807630445
103.19,3.988556648
103.33,3.379482851
103.47,3.810409054
103.61,4.221335257
103.75,4.94226146
103.89,4.993187663
104.03,4.864113866
104.17,3.925040069
104.31,3.875966272
104.44,4.426892475
104.58,4.537818678
104.72,4.248744881
104.86,3.539671085
105.00,3.770597288
105.14,3.761523491
105.28,3.642449694
105.42,3.853375897
105.56,3.4043021
105.69,3.735228303
105.83,3.336154506
105.97,3.127080709
106.11,2.928006912
106.25,3.358933115
106.39,3.259859318
106.53,3.410785521
106.67,3.241711724
106.81,3.662637927
106.94,4.02356413
107.08,3.794490333
107.22,4.005416536
107.36,3.456342739
107.50,3.457268942
107.64,3.238195145
107.78,2.629121348
107.92,2.940047551
108.06,2.510973754
108.19,2.301899958
108.33,2.052826161
108.47,2.213752364
108.61,2.424678567
108.75,2.50560477
108.89,1.906530973
109.03,2.367457176
109.17,2.208383379
109.31,2.269309582
109.44,1.970235785
109.58,2.281161988
109.72,2.082088191
109.86,2.723014394
110.00,2.483940597
110.14,2.6548668
110.28,2.515793003
110.42,2.676719206
110.56,2.947645409
110.69,3.028571612
110.83,2.609497815
110.97,2.520424018
111.11,2.261350221
111.25,2.342276424
111.39,2.133202627
111.53,2.34412883
111.67,2.525055034
111.81,2.785981237
111.94,3.29690744
112.08,3.717833643
112.22,2.358759846
112.36,2.639686049
112.50,2.000612252
112.64,2.091538455
112.78,2.092464658
112.92,2.333390861
113.06,2.394317064
113.19,3.045243267
113.33,3.12616947
113.47,2.747095673
113.61,3.048021876
113.75,2.448948079
113.89,2.229874282
114.03,2.640800485
114.17,2.061726688
114.31,2.012652891
114.44,2.363579094
114.58,2.334505297
114.72,2.5154315
114.86,2.456357703
115.00,2.177283907
115.14,2.31821011
115.28,2.669136313
115.42,2.450062516
115.56,3.100988719
115.69,2.621914922
115.83,2.412841125
115.97,2.123767328
116.11,2.164693531
116.25,2.235619734
116.39,2.606545937
116.53,2.73747214
116.67,2.978398343
116.81,3.669324546
116.94,3.460250749
117.08,3.291176952
117.22,2.722103155
117.36,2.263029358
117.50,1.983955561
117.64,1.704881764
117.78,2.355807967
117.92,2.50673417
118.06,5.817660373
118.19,3.698586576
118.33,3.24951278
118.47,2.200438983
118.61,1.941365186
118.75,2.072291389
118.89,2.473217592
119.03,2.174143795
119.17,3.155069998
119.31,2.725996201
119.44,3.436922404
119.58,2.887848607
119.72,2.48877481
119.86,3.429701013
120.00,2.550627216
120.14,2.491553419
120.28,2.612479622
120.42,2.433405825
120.56,2.974332028
120.69,3.235258231
120.83,2.586184434
120.97,2.797110637
121.11,2.95803684
121.25,2.428963043
121.39,2.589889246
121.53,2.780815449
121.67,2.531741653
121.81,3.092667856
121.94,2.453594059
122.08,2.544520262
122.22,3.185446465
